mechanism_id,domain,name,source_basis,source_motif,normalized_technical_definition,gpu_native_realization,physical_hardware_realization,status,validation_state,dependencies
M136,GPU-native,Pipeline cache artifact,Benchmark,Native compilation cache,Persist vendor/driver-specific cache blob; portability is not assumed.,VkPipelineCache.,Device microcode cache.,RETAIN,Reload tested,
M137,GPU-native,SPIR-V module manifest,Package gpu/spirv/spirv_manifest.json,Instruction/binding audit,"Hash and inspect version, entry point, local size and descriptors.",Custom dependency-free parser.,N/A.,RETAIN,Validated,
M138,GPU-native,Lineage hash,Shader code,mix32 seed^index,Compact deterministic lineage checksum; not a unique or cryptographic identity.,32-bit hash.,Hash/LFSR fabric.,RETAIN,"Validated as checksum; structured-seed collisions measured and bucketed during compact validation",
M139,GPU-native,Dense output path,Benchmark,One event record per candidate,Simple validation layout; non-events still occupy output.,Dense SSBO.,Wide output SRAM.,RETAIN,Benchmarked baseline,
M140,GPU-native,Verified-event compaction,Physical GPU benchmark,Keep novelty only,Use ballot/prefix scan or atomic append to retain verified events.,Per-lane atomic and subgroup/workgroup range-reservation kernels with bounded-capacity overflow guard and optional pre-threshold predicate.,Event FIFO.,RETAIN,"Implemented; dense-capacity, bounded-capacity, deliberate-overflow and pre-threshold paths validated",
M141,GPU-native,Structure-of-arrays option,Spec,Separate hot fields,Split position/support/meta streams when hardware favors field locality.,Multiple SSBOs.,Banked SRAM.,OPTIONAL,Not benchmarked,
M142,GPU-native,Memory coalescing contract,Spec and physical GPU benchmark,Aligned adjacent records,"G64/G32 use 16-byte-aligned records; fixed-query G24 uses a verified 24-byte scalar-word stride; G20 splits five adjacent hot words from a separate lineage word loaded only by retained lanes.",std430 aligned/scalar-word structs and optional split SSBO.,Burst SRAM/DRAM.,RETAIN,"G24/G20 strides disassembled; footprint-shifted L2 boundary and isolated cold-lineage locality gain measured on named device; driver-native append resource statistics are identical; paired texture/SSBO paths share the random-access cliff",
M143,GPU-native,FP16 error contract,Spec/tests,Packed precision trade,G32 requires declared range/tolerance; event guard must exceed quantization uncertainty.,Half conversion and validation.,Fixed-point quantizer.,RETAIN,Sample validated,
M144,GPU-native,Cold versus cache-seeded compilation,Benchmark,Pipeline compile metrics,"Report shader-module, cold pipeline and cache-seeded pipeline times separately.",CPC/CPH metrics.,Configuration load time.,RETAIN,Benchmarked,
M145,GPU-native,CPU reference oracle,Benchmark/tests,Independent expected output,Scalar implementation checks every dense output and compact-stream completeness plus counters.,C++ reference.,Golden-vector testbench.,RETAIN,Passed,
M146,GPU-native,Deterministic benchmark corpus,Benchmark,Generated radial/angular states,"Fixed formula yields reproducible support, compatibility and event counts.",C++ generator.,Test-pattern generator.,RETAIN,Passed,
M147,GPU-native,No Unity/Godot target layer,User requirement,GPU/physical target only,Engine adapters are intentionally absent; ABI is Vulkan/SPIR-V and physical register/stream definitions.,Direct runtime and shader modules.,ASIC/FPGA/photonic interface.,RETAIN,Package audited,
M148,Projection,Cartesian-to-log-polar mapping,S04 pp.1–2,"x,y→ρ,θ",Transform only in output/sensor stage where radial symmetry helps.,Shader math/LUT.,Log-polar sensor mapping.,RETAIN,Optional,
M149,Projection,One-bit sector activation,S04 pp.1–2,Active LUT cell,Skip inactive sectors before field evaluation.,Bitset fetch.,Bitmask gate.,RETAIN,Optional,
M150,Projection,Phasor coverage accumulation,S04 pp.2–3,Feynman vectors,Deterministic complex amplitude/phase accumulation or multisample coverage.,Complex pair accumulation.,Interferometric sum.,CORRECTED,Not quantum simulation,
M151,Projection,Subpixel gradient alignment,S04 pp.4–6,LED phase follows SDF gradient,Use gradient/normal to orient filter or coverage.,Derivative/normal calculation.,Subpixel/actuator orientation.,TRANSLATE,Optional,
M152,Projection,Pulse-density modulation,S04 pp.4–6,1-bit temporal tone,Encode scalar magnitude as pulse density over a declared window.,PDM/delta-sigma kernel.,One-bit LED/DAC stream.,RETAIN,Established technique,
M153,Projection,Anisotropic delta-sigma,S04 pp.5–6,Density changes with log radius,Shape quantization error by radial/angular sampling density.,Error accumulator by sector.,Delta-sigma modulator.,TRANSLATE,Requires measurement,
M154,Projection,Chromatic log-radius offset,S04 pp.7–8,RGB ρ offsets,A multiplicative radial scale becomes an additive log-radius offset per channel.,Per-channel add.,Wavelength-dependent phase/index tuning.,RETAIN,Mathematically exact coordinate identity,
M155,Projection,Wavelength-dependent phase,S04 pp.7–8,Blue/red phase rates,Model dispersion with per-wavelength phase parameters.,Vector lanes/channels.,Optical dispersion.,TRANSLATE,Physical model required,
M156,Projection,Seeded stochastic blend,S04 pp.7–10,Jitter masks banding,Use deterministic noise threshold keyed by coordinate/lineage.,Hash/blue-noise.,Dither/LFSR.,RETAIN,Optional,
M157,Projection,Log-polar blue-noise screening,S04 pp.8–10,Dot density follows ρ,Warp screening frequency to maintain intended density under coordinate expansion.,Threshold texture.,Prepress rasterizer.,TRANSLATE,Output-specific,
M158,Projection,SDF edge lock,S04 pp.9–10,Protect vector edge,"Near zero surface, bias threshold using gradient/coverage.",Edge-aware threshold.,Plate exposure control.,TRANSLATE,Output-specific,
M159,Projection,Dot-gain compensation,S04 p.10,Predict ink spread,Calibrate binary threshold to measured process gain.,Calibration LUT.,Printing process control.,RETAIN,Established output practice,
M160,Projection,CMYK angular separation,S04 pp.9–10,Plate angles,Assign independent angular offsets to reduce moiré.,Per-plate phase/angle.,Prepress plates.,RETAIN,Output-specific,
M161,Physical hardware,Liquid overclad,S05 p.4,Tunable liquid beside waveguide,Liquid changes effective index/coupling over a solid guide.,Control ABI only.,Microfluidic overclad.,RETAIN,Prototype class established,
M162,Physical hardware,Liquid-core guide,S05 p.4,Mode propagates in liquid,Higher interaction with harder loss/packaging constraints.,Control ABI only.,Liquid core/capillary.,OPTIONAL,Component class established,
M163,Physical hardware,Input liquid lens,S05 p.4,Droplet focuses spherical input,Deformable interface couples free-space angular support into guide.,Input calibration table.,Electrowetting/pressure lens.,RETAIN,Component class established,
M164,Physical hardware,Solid photonic substrate,"S05 pp.4,8",Glass/SiN/polymer,Provides conventional low-loss routing and couplers.,Device descriptor.,Fabricated waveguide.,RETAIN,Established,
M165,Physical hardware,2×2 interferometric kernel,"S05 pp.4,9",MZI phase matrix,Minimal mode/phase comparison primitive.,Digital twin/reference model.,Mach–Zehnder interferometer.,RETAIN,Prototype proposal,
M166,Physical hardware,Balanced detection,"S05 pp.4,9",Two photodiodes,Difference readout reduces common-mode intensity noise.,Input ADC record.,Balanced photodiodes.,RETAIN,Established,
M167,Physical hardware,Spherical-to-mode overlap,S05 p.5,Overlap ηc,Coupling efficiency is normalized field overlap integral.,Precomputed/calibrated coefficient.,Optical coupler.,RETAIN,Established equation,
M168,Physical hardware,Coupled-mode evolution,S05 p.5,Matrix-in-glass,"Track propagation constants, attenuation and coupling.",Reduced-order simulator/config.,Waveguide mesh.,RETAIN,Established theory,
M169,Physical hardware,Young–Laplace curvature,S05 p.5,Pressure changes meniscus,Pressure-curvature law drives lens shape.,Controller model.,Fluid interface.,RETAIN,Established theory,
M170,Physical hardware,Maxwell field boundary,S05 p.5,Optical field equation,Optical behavior must be solved/calibrated from dielectric geometry.,"Offline solver/reference, not replaced by event kernel.",Physical electromagnetic field.,RETAIN,Established,
M171,Physical hardware,Actuation modes,"S05 pp.4,8",Pressure/electrowetting/piezo/thermal,"Actuator has range, settling, hysteresis, power and cycle life.",Control registers and timing.,Chosen actuator.,RETAIN,Measure,
M172,Physical hardware,Measured B.C.E. guard,"S05 pp.3,5–7",g=0 and χ=1,Detector threshold plus mode/policy compatibility commits event.,Same event ABI as GPU.,Detector/comparator/controller.,RETAIN,Prototype criterion,
M173,Physical hardware,Calibration and drift state,S05 pp.6–10,Transfer error vs time/temp,Calibration coefficients and uncertainty are first-class state.,Calibration buffer/event tags.,Reference channels/sensors.,RETAIN,Required,
M174,Physical hardware,Events per joule,S05 p.6,ΘE,Count verified events over full source+actuator+detector+control energy.,Benchmark field.,Power instrumentation.,RETAIN,Required,
M175,Physical hardware,Optical insertion loss,"S05 pp.6,10",Loss budget,Report loss beside event throughput.,Device metadata.,Optical power measurement.,RETAIN,Required,
M176,Physical hardware,Packaging failure controls,"S05 pp.8,10",Bubbles/leaks/drift,"Bubble rate, evaporation, swelling, alignment and seal life are kill criteria.",Health/status events.,Packaging/process controls.,RETAIN,Required,
M177,Physical hardware,Digital commit sidecar,"S05 pp.4,7,9",FPGA/MCU for calibration/event log,"Use FPGA/ASIC/MCU for thresholds, uncertainty, lineage and safety; this is not a game-engine adapter.",Same E16/E32/event ABI.,FPGA/ASIC controller.,RETAIN,Canonical,
M178,Physical hardware,Fixed-function support engine,Derived architecture,Norm/dot/compare pipeline,ASIC/FPGA datapath evaluates radial and angular support.,Maps Vulkan kernel stages to PEs.,DSP slices/comparators.,TRANSLATE,Architecture specified,
M179,Physical hardware,Compatibility mask engine,Derived architecture,Sheet/orientation/mode gate,Bitfield compares before guard evaluation.,Maps shader predicate.,Mask logic/route switch.,TRANSLATE,Architecture specified,
M180,Physical hardware,Event FIFO and lineage commit,Derived architecture,Verified-only append,Compact verified events and maintain monotonic sequence/lineage.,Compaction/FIFO interface.,On-chip FIFO/host DMA.,TRANSLATE,Architecture specified,
M181,Physical hardware,Fluidic threshold/reset endpoint,S01 pp.27–29,Pythagorean cup,"Optional physical hysteretic reset, not a computation or energy source.",Control state machine.,Siphon/valve.,BOUNDED,Requires lab validation,
M182,Physical hardware,Explicit topology transfer map,S05 p.5,Klein only after ports/map,"Non-orientable naming is permitted only with port, orientation and transfer matrix.",Routing table.,Fabricated interconnect.,RETAIN,Required,
M183,Physical hardware,Failure/kill criteria,S05 p.10,Stop when no advantage,"Reject device if loss, drift, false events, actuation speed, packaging or sidecar cost erase benefit.",Benchmark gate.,Lab decision criteria.,RETAIN,Required,
M184,Audit,100% does not ordinarily equal 36,S01 pp.7–8,Source corrects itself,36 is output of a custom glyph encoder only.,Parser mode required.,N/A.,CORRECTED,Exact,
M185,Audit,100101 versus 100100 inconsistency,S01 pp.3–9,Intermediate 37 then 36,Canonical addendum uses the later explicit open-loop suppression rule; both encodings are logged as variants.,Versioned encoder rule.,N/A.,CORRECTED,Source inconsistency resolved explicitly,
M186,Audit,Information entropy is not automatically heat,S01 pp.17–24,0.680 bits→202.74 J,Thermodynamic energy requires temperature and irreversible erasure model; use Landauer lower bound only as a bound.,Units/type checker.,Calorimetry/power measurement.,REJECT,Dimensionally invalid source claim,
M187,Audit,Absolute single vacuum claim,S01 pp.25–29,Single absolute negative-pressure vacuum,A siphon uses pressure difference and gravity; no absolute vacuum is created.,Use threshold/reset abstraction.,Conventional fluid mechanics.,CORRECTED,Established physics boundary,
M188,Audit,Zero-cost chromatic correction,S04 pp.7–8,Zero extra cycles,"Log-space offset is cheap, not free; report instructions/bandwidth/passes.",Benchmark separately.,N/A.,REJECT,Absolute claim,
M189,Audit,Perfect alias elimination,S04 pp.4–6,Eliminates stair-stepping,PDM/dither redistributes error; quality is finite and measurable.,Error metrics.,Display/print tests.,REJECT,Absolute claim,
M190,Audit,Universal O(1),S03 pp.7–8; S08 pp.15–35,Constant-time world,Only fixed closed-expression state queries may be horizon-independent; event/branch costs remain.,Complexity budgets.,N/A.,BOUNDED,Canonical correction,
M191,Audit,Zero memory/latency/heat,"S05 pp.2,10; S08",No resource cost,"All state, caches, logs, sources, actuators and controls count.",Full accounting.,Full system measurement.,REJECT,Canonical rejection,
M192,Audit,Perfect determinism/exact chaos,S03 pp.8–11; S08,Exact closed universe,"Finite precision, degeneracies and external novelty require uncertainty and logs.",Intervals/error bounds.,Noise/drift measurement.,REJECT,Unsupported absolute,
M193,Audit,One bit as complete state,"S05 pp.2,7; S08",World in one bit,One bit is route/validity only; continuous state and lineage remain separate.,Typed ABI.,Multiple registers/channels.,REJECT,Canonical correction,
M194,Audit,No broad phase ever,S08 pp.28–35,Eliminate broad phase,Support/compatibility are themselves analytic broad-phase/pruning operators.,Keep measurable pruning.,Physical filtering.,CORRECTED,Terminology correction,
M195,Audit,General AI/world replacement,"S03 pp.1,7–12; S05 p.10",Substrate equals intelligence/world,No support in corpus; restrict to state/event substrate.,Excluded from requirements.,Excluded.,REJECT,Unsupported,
M196,Audit,Biological one-bit equivalence,S06/S07/S10 pp.13–24,Synapses/bonds are exact parity hinges,Use as analogy only; biological/quantum mechanisms are not established by the geometry.,Excluded from technical core.,Independent domain models required.,DEMOTE,Unsupported analogy,
M197,Audit,Physical-GPU benchmark boundary,Package benchmark,Software Vulkan validation device,"Results prove API-native execution and correctness on named device, not physical-GPU throughput.",physical_gpu_claim=false.,Re-run on target GPU/ASIC.,RETAIN,Explicit boundary,
M198,Performance/cache,Native device-clock L2 boundary,Package physical-GPU shader-clock runs,512-step dependent chase across the reported 36 MiB L2,"A saturated random dependent-load working set is flat through 36 MiB, then rises at 38 MiB and sharply at 40 MiB.",VK_KHR_shader_clock control plus dependent SSBO chase.,Named RTX 5070 Ti Laptop GPU through its Vulkan driver.,RETAIN,Measured with implementation-defined clock-unit and scheduler-exposure bounds,M197
M199,Performance/cache,Native CUDA L2 cycle control,Package physical-GPU CUDA clock64 runs,One-warp ld.global.cg hot and post-eviction dependent chains,"The immediate-hot L2/global path is about 400 exposed cycles per dependent warp step while a 256 MiB eviction raises it to about 1088 cycles on the named GPU.",Native sm_120 clock64 control and dependent ld.global.cg loop.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured with time-slicing and multi-sector warp-step bounds,M198
M200,Performance/cache,Native CUDA L2 concurrency curve,Package physical-GPU CUDA concurrency runs,One-warp blocks scaled through the 24-warps-per-SM occupancy ceiling around the 36 MiB boundary,"At 1104 warps hot requested throughput is unchanged between 4 and 36 MiB but falls 45.20% at 40 MiB and 82.59% at 128 MiB.",Native sm_120 clock64 plus CUDA-event dependent-chain matrix.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured logical requested-load throughput with scheduling and transaction-granularity bounds,M199
M201,Performance/cache,Native CUDA texture-path capacity control,Package physical-GPU CUDA texture/global runs,Byte-identical dependent chains through linear texture object and L1-bypassing global loads,"Native TLD and LDG paths share the same 36-40 MiB throughput cliff; texture adds no effective capacity tier and is slower at low concurrency.",Native sm_120 TLD.LZ versus LDG.E.STRONG.GPU matched matrix.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured with logical-throughput and unavailable-counter bounds,M200
M202,Performance/cache,Dense 6-bit CUDA log-LUT packing,Package physical-GPU CUDA packed-log-LUT runs,Sixteen 6-bit codes per three words versus two 16-bit slots per word,"Dense packing realizes 2.667x code capacity at the same bytes; on the named GPU the saturated texture path preserves 98.61% of slot16 throughput at the 36 MiB capacity endpoint.",Native sm_120 packed extraction through matched TLD.LZ and LDG.E.STRONG.GPU paths.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured logical decoded-code throughput with per-load validation and unavailable-counter bounds,M201
M203,Performance/cache,Native CUDA sparse-stride effective residency,Package physical-GPU CUDA sparse-stride runs,One consumed dependent pointer u32 at 4-256 byte spacing with mixed filler,"Active-node capacity scales 4:2:1 at 32/64/128-byte spacing and saturates by 128 bytes, bounding dependent-pointer effective residency at 128 bytes for the named workload.",Native sm_120 nonlinear dependent ld.global.cg chase with CPU replay and spacing controls.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,"Measured workload-level effective residency with dependency, physical-line and unavailable-counter bounds",M202
M204,Performance/cache,Packed-LUT neighborhood occupancy curve,Package physical-GPU CUDA LUT line-occupancy runs,One to 170 useful packed6 codes per aligned 128-byte region with mixed filler and exact 32-byte boundary probes,"At 36 MiB all layouts sustain 42.437-43.010 Glookup/s while post-L2 throughput changes continuously with address-region touch probability, rejecting a universal 128-byte cost for independently scheduled packed codes.",Native sm_120 independent packed6 lookup matrix through matched TLD.LZ and LDG.E.STRONG.GPU paths.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured logical decoded-code throughput with arithmetic address-span and unavailable-counter bounds,M203
M205,Performance/cache,Sparse-LUT residency decomposition,Package physical-GPU CUDA sparse-address and one-code refinement runs,One packed6 code per 32-256 byte region with matched requested-data line-count and address-span controls,"Independent sparse packed-LUT throughput cannot be predicted by requested data bytes, allocation, or containing-line count alone; resident data portions, containing-line-address pressure, and address span are separately observable timing terms.",Native sm_120 independent packed6 global/texture stride matrix with exact line-equivalent refinement.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured timing model with undocumented-sector tag set TLB and unavailable-counter bounds,M204
M206,Performance/cache,Sparse-LUT page-spaced address reach,Package physical-GPU CUDA page-span and page-stride runs,One checked packed6 word per 128-byte through 4-KiB address stride,"At fixed useful words and containing test-line count, full-rate independent sparse lookup persists through a 252 MiB address span and transitions between 252 and 256 MiB on the named workload.",Native sm_120 matched LDG/TLD page-stride matrix through a 1-GiB allocation span.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured logical throughput with page-size TLB set partition and unavailable-counter bounds,M205
M207,Performance/cache,Sparse-LUT exact-stride alias control,Package physical-GPU CUDA non-power-of-two stride-skew runs,Power-of-two pitch bracketed by one 32-byte region,"Exact 512- and 1,024-byte sparse pitches create native texture-path throughput aliasing that is removed by a plus or minus 32-byte skew below the general address-span transition.",Native sm_120 TLD/LDG matched pitch-skew matrix with mixed filler and per-load validation.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured address-index alias evidence without physical set bank or partition claims,M206
M208,Performance/cache,VMM-isolated virtual address reach,Package physical-GPU CUDA VMM-alias runs,One 2 MiB physical allocation repeatedly mapped across 64-510 MiB virtual spans,"The sparse-LUT 248-256 MiB transition persists when physical allocation and accessed physical payload remain fixed at 2 MiB; virtual address distribution and reach are therefore causal timing terms for the named workload.",Native sm_120 paired LDG/TLD lookup over repeated CUDA VMM aliases with fixed physical backing.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured virtual-address effect without hardware-page TLB page-walk set or partition claims,M207
M209,Performance/cache,Content-sensitive CUDA VMM compression,Package physical-GPU CUDA VMM compression probe and packed6 runs,Explicit generic-compressible allocation tested with zero periodic and entropy-dense 6-bit streams,"The driver grants generic compression and can expand all-zero throughput-equivalent allocation capacity through 240 MiB, but periodic and entropy-dense packed6 LUTs gain no effective cache capacity; compression benefit is content-specific and remains bounded by virtual reach.",Native sm_120 paired LDG/TLD packed6 decoding over effective mode-0 and mode-1 VMM handles.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured property and logical-throughput bounds without physical compression ratio cache-byte or DRAM counters,M208
M210,Performance/cache,Constant-pattern CUDA VMM compression,Package physical-GPU CUDA all-one VMM compression runs,Every packed6 code is 63 and every packed word is 0xFFFFFFFF,"An independently validated nonzero constant table reproduces the all-zero global compression boundary through 240 MiB, supporting a constant-pattern class while rejecting extrapolation to information-bearing LUTs.",Native sm_120 paired LDG packed6 decoding over effective mode-0 and mode-1 VMM handles.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Measured nonzero semantic control with logical-throughput and unavailable-counter bounds,M209
M211,Performance/cache,Zero-sentinel texture validation guard,Package physical-GPU texture alignment and constant mismatch controls,Zero-valued expected output can mask an invalid texture return,"A zero-only checker is insufficient for texture or compression capacity evidence; the fast zero-texture curve is rejected because an all-one sentinel produces zero valid timed payloads while information-bearing texture controls remain valid.",Native sm_120 TLD versus LDG semantic controls with mismatch totals and exact table-group perturbation.,Named RTX 5070 Ti Laptop GPU through CUDA 12.8.,RETAIN,Validated negative control and explicit correction of a prior zero-sentinel false positive,M210
