id,layer,domain,mechanism,source,definition,disposition,validation,implementation
M131,UGTS-GN 1.1 source/normalization baseline,GPU-native,G32 packed state record,Package spec,Pair FP16 fields and pack topology metadata.,RETAIN,Implemented and validated,See supplied UGTS-GN 1.1 package description
M132,UGTS-GN 1.1 source/normalization baseline,GPU-native,E16 packed event record,Package spec,"SDF plus packed guard/confidence, flags and lineage hash.",RETAIN,Implemented and validated,See supplied UGTS-GN 1.1 package description
M133,UGTS-GN 1.1 source/normalization baseline,GPU-native,Evaluate mode,Benchmark,Write per-candidate result without global counters.,RETAIN,Benchmarked,See supplied UGTS-GN 1.1 package description
M134,UGTS-GN 1.1 source/normalization baseline,GPU-native,Evaluate+commit mode,Benchmark,Add four atomic counters for candidates/support/compatible/verifie d.,RETAIN,Benchmarked,See supplied UGTS-GN 1.1 package description
M135,UGTS-GN 1.1 source/normalization baseline,GPU-native,Device timestamp measurement,Benchmark,Use Vulkan timestamp queries and host fence timing.,RETAIN,Benchmarked,See supplied UGTS-GN 1.1 package description
M136,UGTS-GN 1.1 source/normalization baseline,GPU-native,Pipeline cache artifact,Benchmark,Persist vendor/driver-specific cache blob; portability is not assumed.,RETAIN,Reload tested,See supplied UGTS-GN 1.1 package description
M137,UGTS-GN 1.1 source/normalization baseline,GPU-native,SPIR-V module manifest,Package gpu/spirv/spirv_manifest.json,"Hash and inspect version, entry point, local size and descriptors.",RETAIN,Validated,See supplied UGTS-GN 1.1 package description
M138,UGTS-GN 1.1 source/normalization baseline,GPU-native,Lineage hash,Shader code,Compact deterministic lineage checksum; not a cryptographic identity.,RETAIN,Validated,See supplied UGTS-GN 1.1 package description
M139,UGTS-GN 1.1 source/normalization baseline,GPU-native,Dense output path,Benchmark,Simple validation layout; non-events still occupy output.,RETAIN,Benchmarked baseline,See supplied UGTS-GN 1.1 package description
M140,UGTS-GN 1.1 source/normalization baseline,GPU-native,Verified-event compaction,Spec/derived metrics,Use ballot/prefix scan or atomic append to retain verified events.,TRANSLATE,Metric modeled; compact kernel not benchmarked,See supplied UGTS-GN 1.1 package description
M141,UGTS-GN 1.1 source/normalization baseline,GPU-native,Structure-of-arrays option,Spec,Split position/support/meta streams when hardware favors field locality.,OPTIONAL,Not benchmarked,See supplied UGTS-GN 1.1 package description
M142,UGTS-GN 1.1 source/normalization baseline,GPU-native,Memory coalescing contract,Spec,Records are 16-byte aligned; adjacent invocations access adjacent records.,RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M143,UGTS-GN 1.1 source/normalization baseline,GPU-native,FP16 error contract,Spec/tests,G32 requires declared range/tolerance; event guard must exceed quantization uncertainty.,RETAIN,Sample validated,See supplied UGTS-GN 1.1 package description
M144,UGTS-GN 1.1 source/normalization baseline,GPU-native,Cold versus cache-seeded compilation,Benchmark,"Report shader-module, cold pipeline and cache-seeded pipeline times separately.",RETAIN,Benchmarked,See supplied UGTS-GN 1.1 package description
M145,UGTS-GN 1.1 source/normalization baseline,GPU-native,CPU reference oracle,Benchmark/tests,Scalar implementation checks counters and first 4096 outputs.,RETAIN,Passed,See supplied UGTS-GN 1.1 package description
M146,UGTS-GN 1.1 source/normalization baseline,GPU-native,Deterministic benchmark corpus,Benchmark,"Fixed formula yields reproducible support, compatibility and event counts.",RETAIN,Passed,See supplied UGTS-GN 1.1 package description
M147,UGTS-GN 1.1 source/normalization baseline,GPU-native,No Unity/Godot target layer,User requirement,Engine adapters are intentionally absent; ABI is Vulkan/SPIR-V and physical register/stream definitions.,RETAIN,Package audited,See supplied UGTS-GN 1.1 package description
M148,UGTS-GN 1.1 source/normalization baseline,Projection,Cartesian-to-log-polar mapping,S04 pp.1–2,Transform only in output/sensor stage where radial symmetry helps.,RETAIN,Optional,See supplied UGTS-GN 1.1 package description
M149,UGTS-GN 1.1 source/normalization baseline,Projection,One-bit sector activation,S04 pp.1–2,Skip inactive sectors before field evaluation.,RETAIN,Optional,See supplied UGTS-GN 1.1 package description
M150,UGTS-GN 1.1 source/normalization baseline,Projection,Phasor coverage accumulation,S04 pp.2–3,Deterministic complex amplitude/phase accumulation or multisample coverage.,CORRECTED,Not quantum simulation,See supplied UGTS-GN 1.1 package description
M151,UGTS-GN 1.1 source/normalization baseline,Projection,Subpixel gradient alignment,S04 pp.4–6,Use gradient/normal to orient filter or coverage.,TRANSLATE,Optional,See supplied UGTS-GN 1.1 package description
M152,UGTS-GN 1.1 source/normalization baseline,Projection,Pulse-density modulation,S04 pp.4–6,Encode scalar magnitude as pulse density over a declared window.,RETAIN,Established technique,See supplied UGTS-GN 1.1 package description
M153,UGTS-GN 1.1 source/normalization baseline,Projection,Anisotropic delta-sigma,S04 pp.5–6,Shape quantization error by radial/angular sampling density.,TRANSLATE,Requires measurement,See supplied UGTS-GN 1.1 package description
M154,UGTS-GN 1.1 source/normalization baseline,Projection,Chromatic log-radius offset,S04 pp.7–8,A multiplicative radial scale becomes an additive log-radius offset per channel.,RETAIN,Mathematically exact coordinate identity,See supplied UGTS-GN 1.1 package description
M155,UGTS-GN 1.1 source/normalization baseline,Projection,Wavelength-dependent phase,S04 pp.7–8,Model dispersion with per-wavelength phase parameters.,TRANSLATE,Physical model required,See supplied UGTS-GN 1.1 package description
M156,UGTS-GN 1.1 source/normalization baseline,Projection,Seeded stochastic blend,S04 pp.7–10,Use deterministic noise threshold keyed by coordinate/lineage.,RETAIN,Optional,See supplied UGTS-GN 1.1 package description
M157,UGTS-GN 1.1 source/normalization baseline,Projection,Log-polar blue-noise screening,S04 pp.8–10,Warp screening frequency to maintain intended density under coordinate expansion.,TRANSLATE,Output-specific,See supplied UGTS-GN 1.1 package description
M158,UGTS-GN 1.1 source/normalization baseline,Projection,SDF edge lock,S04 pp.9–10,"Near zero surface, bias threshold using gradient/coverage.",TRANSLATE,Output-specific,See supplied UGTS-GN 1.1 package description
M159,UGTS-GN 1.1 source/normalization baseline,Projection,Dot-gain compensation,S04 p.10,Calibrate binary threshold to measured process gain.,RETAIN,Established output practice,See supplied UGTS-GN 1.1 package description
M160,UGTS-GN 1.1 source/normalization baseline,Projection,CMYK angular separation,S04 pp.9–10,Assign independent angular offsets to reduce moiré.,RETAIN,Output-specific,See supplied UGTS-GN 1.1 package description
M161,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Liquid overclad,S05 p.4,Liquid changes effective index/coupling over a solid guide.,RETAIN,Prototype class established,See supplied UGTS-GN 1.1 package description
M162,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Liquid-core guide,S05 p.4,Higher interaction with harder loss/packaging constraints.,OPTIONAL,Component class established,See supplied UGTS-GN 1.1 package description
M163,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Input liquid lens,S05 p.4,Deformable interface couples free- space angular support into guide.,RETAIN,Component class established,See supplied UGTS-GN 1.1 package description
M164,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Solid photonic substrate,"S05 pp.4,8",Provides conventional low-loss routing and couplers.,RETAIN,Established,See supplied UGTS-GN 1.1 package description
M165,UGTS-GN 1.1 source/normalization baseline,Physical hardware,2×2 interferometric kernel,"S05 pp.4,9",Minimal mode/phase comparison primitive.,RETAIN,Prototype proposal,See supplied UGTS-GN 1.1 package description
M166,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Balanced detection,"S05 pp.4,9",Difference readout reduces common- mode intensity noise.,RETAIN,Established,See supplied UGTS-GN 1.1 package description
M167,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Spherical-to-mode overlap,S05 p.5,Coupling efficiency is normalized field overlap integral.,RETAIN,Established equation,See supplied UGTS-GN 1.1 package description
M168,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Coupled-mode evolution,S05 p.5,"Track propagation constants, attenuation and coupling.",RETAIN,Established theory,See supplied UGTS-GN 1.1 package description
M169,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Young–Laplace curvature,S05 p.5,Pressure-curvature law drives lens shape.,RETAIN,Established theory,See supplied UGTS-GN 1.1 package description
M170,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Maxwell field boundary,S05 p.5,Optical behavior must be solved/calibrated from dielectric geometry.,RETAIN,Established,See supplied UGTS-GN 1.1 package description
M171,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Actuation modes,"S05 pp.4,8","Actuator has range, settling, hysteresis, power and cycle life.",RETAIN,Measure,See supplied UGTS-GN 1.1 package description
M172,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Measured B.C.E. guard,"S05 pp.3,5–7",Detector threshold plus mode/policy compatibility commits event.,RETAIN,Prototype criterion,See supplied UGTS-GN 1.1 package description
M173,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Calibration and drift state,S05 pp.6–10,Calibration coefficients and uncertainty are first-class state.,RETAIN,Required,See supplied UGTS-GN 1.1 package description
M174,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Events per joule,S05 p.6,Count verified events over full source+actuator+detector+control energy.,RETAIN,Required,See supplied UGTS-GN 1.1 package description
M175,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Optical insertion loss,"S05 pp.6,10",Report loss beside event throughput.,RETAIN,Required,See supplied UGTS-GN 1.1 package description
M176,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Packaging failure controls,"S05 pp.8,10","Bubble rate, evaporation, swelling, alignment and seal life are kill criteria.",RETAIN,Required,See supplied UGTS-GN 1.1 package description
M177,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Digital commit sidecar,"S05 pp.4,7,9","Use FPGA/ASIC/MCU for thresholds, uncertainty, lineage and safety; this is not a game-engine adapter.",RETAIN,Canonical,See supplied UGTS-GN 1.1 package description
M178,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Fixed-function support engine,Derived architecture,ASIC/FPGA datapath evaluates radial and angular support.,TRANSLATE,Architecture specified,See supplied UGTS-GN 1.1 package description
M179,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Compatibility mask engine,Derived architecture,Bitfield compares before guard evaluation.,TRANSLATE,Architecture specified,See supplied UGTS-GN 1.1 package description
M180,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Event FIFO and lineage commit,Derived architecture,Compact verified events and maintain monotonic sequence/lineage.,TRANSLATE,Architecture specified,See supplied UGTS-GN 1.1 package description
M181,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Fluidic threshold/reset endpoint,S01 pp.27–29,"Optional physical hysteretic reset, not a computation or energy source.",BOUNDED,Requires lab validation,See supplied UGTS-GN 1.1 package description
M182,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Explicit topology transfer map,S05 p.5,"Non-orientable naming is permitted only with port, orientation and transfer matrix.",RETAIN,Required,See supplied UGTS-GN 1.1 package description
M183,UGTS-GN 1.1 source/normalization baseline,Physical hardware,Failure/kill criteria,S05 p.10,"Reject device if loss, drift, false events, actuation speed, packaging or sidecar cost erase benefit.",RETAIN,Required,See supplied UGTS-GN 1.1 package description
M184,UGTS-GN 1.1 source/normalization baseline,Audit,100% does not ordinarily equal 36,S01 pp.7–8,36 is output of a custom glyph encoder only.,CORRECTED,Exact,See supplied UGTS-GN 1.1 package description
M185,UGTS-GN 1.1 source/normalization baseline,Audit,100101 versus 100100 inconsistency,S01 pp.3–9,Canonical addendum uses the later explicit open-loop suppression rule; both encodings are logged as variants.,CORRECTED,Source inconsistency resolved explicitly,See supplied UGTS-GN 1.1 package description
M186,UGTS-GN 1.1 source/normalization baseline,Audit,Information entropy is not automatically heat,S01 pp.17–24,Thermodynamic energy requires temperature and irreversible erasure model; use Landauer lower bound only as a bound.,REJECT,Dimensionally invalid source claim,See supplied UGTS-GN 1.1 package description
M187,UGTS-GN 1.1 source/normalization baseline,Audit,Absolute single vacuum claim,S01 pp.25–29,A siphon uses pressure difference and gravity; no absolute vacuum is created.,CORRECTED,Established physics boundary,See supplied UGTS-GN 1.1 package description
M188,UGTS-GN 1.1 source/normalization baseline,Audit,Zero-cost chromatic correction,S04 pp.7–8,"Log-space offset is cheap, not free; report instructions/bandwidth/passes.",REJECT,Absolute claim,See supplied UGTS-GN 1.1 package description
M189,UGTS-GN 1.1 source/normalization baseline,Audit,Perfect alias elimination,S04 pp.4–6,PDM/dither redistributes error; quality is finite and measurable.,REJECT,Absolute claim,See supplied UGTS-GN 1.1 package description
M190,UGTS-GN 1.1 source/normalization baseline,Audit,Universal O(1),S03 pp.7–8; S08 pp.15–35,Only fixed closed-expression state queries may be horizon-independent; event/branch costs remain.,BOUNDED,Canonical correction,See supplied UGTS-GN 1.1 package description
M191,UGTS-GN 1.1 source/normalization baseline,Audit,Zero memory/latency/heat,"S05 pp.2,10; S08","All state, caches, logs, sources, actuators and controls count.",REJECT,Canonical rejection,See supplied UGTS-GN 1.1 package description
M192,UGTS-GN 1.1 source/normalization baseline,Audit,Perfect determinism/exact chaos,S03 pp.8–11; S08,"Finite precision, degeneracies and external novelty require uncertainty and logs.",REJECT,Unsupported absolute,See supplied UGTS-GN 1.1 package description
M193,UGTS-GN 1.1 source/normalization baseline,Audit,One bit as complete state,"S05 pp.2,7; S08",One bit is route/validity only; continuous state and lineage remain separate.,REJECT,Canonical correction,See supplied UGTS-GN 1.1 package description
M194,UGTS-GN 1.1 source/normalization baseline,Audit,No broad phase ever,S08 pp.28–35,Support/compatibility are themselves analytic broad-phase/pruning operators.,CORRECTED,Terminology correction,See supplied UGTS-GN 1.1 package description
M195,UGTS-GN 1.1 source/normalization baseline,Audit,General AI/world replacement,"S03 pp.1,7–12; S05 p.10",No support in corpus; restrict to state/event substrate.,REJECT,Unsupported,See supplied UGTS-GN 1.1 package description
M196,UGTS-GN 1.1 source/normalization baseline,Audit,Biological one-bit equivalence,S06/S07/S10 pp.13–24,Use as analogy only; biological/quantum mechanisms are not established by the geometry.,DEMOTE,Unsupported analogy,See supplied UGTS-GN 1.1 package description
M197,UGTS-GN 1.1 source/normalization baseline,Audit,Physical-GPU benchmark boundary,Package benchmark,"Results prove API-native execution and correctness on named device, not physical-GPU throughput.",RETAIN,Explicit boundary,See supplied UGTS-GN 1.1 package description
M198,UGTS-KC 2.0 engineering expansion,Parametric pattern,Superellipse,UGTS-KC 2.0 engineering expansion,Curve |x/a|^n + |y/b|^n = 1 with explicit exponent and axis parameters.,ENGINEERING,Implemented + tested,patterns.superellipse
M199,UGTS-KC 2.0 engineering expansion,Parametric pattern,Gielis superformula,UGTS-KC 2.0 engineering expansion,"Generalized polar radius family parameterized by symmetry, scales and exponents.",ENGINEERING,Implemented + tested,patterns.superformula
M200,UGTS-KC 2.0 engineering expansion,Parametric pattern,Lissajous curve,UGTS-KC 2.0 engineering expansion,Independent sinusoidal axes with frequency ratio and phase offset.,ENGINEERING,Implemented + tested,patterns.lissajous
M201,UGTS-KC 2.0 engineering expansion,Parametric pattern,Hypotrochoid,UGTS-KC 2.0 engineering expansion,Point attached to a circle rolling inside a fixed circle.,ENGINEERING,Implemented + tested,patterns.hypotrochoid
M202,UGTS-KC 2.0 engineering expansion,Parametric pattern,Epitrochoid,UGTS-KC 2.0 engineering expansion,Point attached to a circle rolling outside a fixed circle.,ENGINEERING,Implemented + tested,patterns.epitrochoid
M203,UGTS-KC 2.0 engineering expansion,Parametric pattern,Cycloid,UGTS-KC 2.0 engineering expansion,Trace of a point on a circle rolling along a line.,ENGINEERING,Implemented + tested,patterns.cycloid
M204,UGTS-KC 2.0 engineering expansion,Parametric pattern,Circle involute,UGTS-KC 2.0 engineering expansion,Taut-string curve unwound from a circle.,ENGINEERING,Implemented + tested,patterns.involute
M205,UGTS-KC 2.0 engineering expansion,Parametric pattern,Archimedean spiral,UGTS-KC 2.0 engineering expansion,Polar curve r=a+b*theta with constant radial increment per turn.,ENGINEERING,Implemented + tested,patterns.archimedean_spiral
M206,UGTS-KC 2.0 engineering expansion,Parametric pattern,Logarithmic spiral,UGTS-KC 2.0 engineering expansion,Polar curve r=a*exp(b*theta) with constant angle between tangent and radius.,ENGINEERING,Implemented + tested,patterns.logarithmic_spiral
M207,UGTS-KC 2.0 engineering expansion,Parametric pattern,Fermat spiral,UGTS-KC 2.0 engineering expansion,"Polar curve r=a*sqrt(theta), with signed branch convention.",ENGINEERING,Implemented + tested,patterns.fermat_spiral
M208,UGTS-KC 2.0 engineering expansion,Parametric pattern,Clothoid / Euler spiral,UGTS-KC 2.0 engineering expansion,"Planar curve with curvature linear in arc length, evaluated by bounded quadrature.",ENGINEERING,Implemented + tested,patterns.clothoid
M209,UGTS-KC 2.0 engineering expansion,Parametric pattern,Quadratic Bezier curve,UGTS-KC 2.0 engineering expansion,Bernstein interpolation of three control points.,ENGINEERING,Implemented + tested,patterns.quadratic_bezier
M210,UGTS-KC 2.0 engineering expansion,Parametric pattern,Cubic Bezier curve,UGTS-KC 2.0 engineering expansion,Bernstein interpolation of four control points.,ENGINEERING,Implemented + tested,patterns.cubic_bezier
M211,UGTS-KC 2.0 engineering expansion,Parametric pattern,Catmull-Rom spline,UGTS-KC 2.0 engineering expansion,Local interpolating cubic segment with declared tension convention.,ENGINEERING,Implemented + tested,patterns.catmull_rom
M212,UGTS-KC 2.0 engineering expansion,Parametric pattern,Uniform cubic B-spline,UGTS-KC 2.0 engineering expansion,C2-continuous local spline segment using uniform cubic basis.,ENGINEERING,Implemented + tested,patterns.uniform_cubic_bspline
M213,UGTS-KC 2.0 engineering expansion,Parametric pattern,NURBS curve,UGTS-KC 2.0 engineering expansion,"Rational B-spline with knot, degree and positive-weight contracts.",ENGINEERING,Implemented + tested,patterns.nurbs_curve
M214,UGTS-KC 2.0 engineering expansion,Parametric pattern,Reuleaux profile,UGTS-KC 2.0 engineering expansion,Constant-width profile assembled from circular arcs under an odd-polygon convention.,ENGINEERING,Prototype + tested,patterns.reuleaux_triangle_point
M215,UGTS-KC 2.0 engineering expansion,Parametric pattern,Rhodonea / rose curve,UGTS-KC 2.0 engineering expansion,Polar harmonic r=a*cos(k*theta+phase).,ENGINEERING,Implemented + tested,patterns.rose
M216,UGTS-KC 2.0 engineering expansion,Parametric pattern,Viviani curve,UGTS-KC 2.0 engineering expansion,Spherical figure-eight curve produced by sphere-cylinder intersection.,ENGINEERING,Implemented + tested,patterns.viviani
M217,UGTS-KC 2.0 engineering expansion,Parametric pattern,Spherical loxodrome,UGTS-KC 2.0 engineering expansion,"Constant-bearing curve on a sphere, with pole exclusion.",ENGINEERING,Implemented + tested,patterns.loxodrome
M218,UGTS-KC 2.0 engineering expansion,Implicit field,Superquadric implicit surface,UGTS-KC 2.0 engineering expansion,"Exponent-controlled ellipsoid family represented as a signed implicit field, not automatically an exact SDF.",ENGINEERING,Implemented + tested,fields.superquadric_field
M219,UGTS-KC 2.0 engineering expansion,Implicit field,Swept tube field,UGTS-KC 2.0 engineering expansion,Minimum distance to a polyline or parametric spine minus local radius.,ENGINEERING,Implemented + tested,fields.polyline_tube_sdf
M220,UGTS-KC 2.0 engineering expansion,Implicit surface,Ruled surface,UGTS-KC 2.0 engineering expansion,"Surface x(u,v)=a(u)+v*b(u), retained as a parameterized surface family.",ENGINEERING,Specified,surface contract
M221,UGTS-KC 2.0 engineering expansion,Implicit surface,Helicoid,UGTS-KC 2.0 engineering expansion,Minimal surface parameterized by radius and pitch.,ENGINEERING,Implemented + tested,patterns.helicoid
M222,UGTS-KC 2.0 engineering expansion,Implicit surface,Catenoid,UGTS-KC 2.0 engineering expansion,Surface of revolution of a catenary with explicit scale.,ENGINEERING,Implemented + tested,patterns.catenoid
M223,UGTS-KC 2.0 engineering expansion,Implicit field,Gyroid field,UGTS-KC 2.0 engineering expansion,Triply periodic field sin x cos y + sin y cos z + sin z cos x - level.,ENGINEERING,Implemented + tested,fields.gyroid_field
M224,UGTS-KC 2.0 engineering expansion,Implicit field,Schwarz-P field,UGTS-KC 2.0 engineering expansion,Triply periodic field cos x + cos y + cos z - level.,ENGINEERING,Implemented + tested,fields.schwarz_p_field
M225,UGTS-KC 2.0 engineering expansion,Implicit field,Metaball field,UGTS-KC 2.0 engineering expansion,Weighted radial influence sum with explicit kernel and isovalue.,ENGINEERING,Implemented + tested,fields.metaball_field
M226,UGTS-KC 2.0 engineering expansion,Implicit field,Offset / parallel surface,UGTS-KC 2.0 engineering expansion,Field f_offset(p)=f(p)-d with preserved sign convention and bounded distance claim.,ENGINEERING,Implemented + tested,fields.offset_field
M227,UGTS-KC 2.0 engineering expansion,Implicit field,Arrival-time / Eikonal field,UGTS-KC 2.0 engineering expansion,Travel-time scalar whose gradient norm is constrained by local speed.,ENGINEERING,Prototype + tested,dynamics.fast_sweeping_eikonal
M228,UGTS-KC 2.0 engineering expansion,Implicit field,Capsule SDF,UGTS-KC 2.0 engineering expansion,Exact distance to a line segment thickened by a radius.,ENGINEERING,Implemented + tested,fields.capsule_sdf
M229,UGTS-KC 2.0 engineering expansion,Implicit field,Torus SDF,UGTS-KC 2.0 engineering expansion,Exact distance to a standard torus under rigid transforms.,ENGINEERING,Implemented + tested,fields.torus_sdf
M230,UGTS-KC 2.0 engineering expansion,Topology calculus,Winding number,UGTS-KC 2.0 engineering expansion,Integer winding of a closed planar path around a query point.,ENGINEERING,Implemented + tested,topology.winding_number
M231,UGTS-KC 2.0 engineering expansion,Topology calculus,Covering-space lift,UGTS-KC 2.0 engineering expansion,Track an unwrapped coordinate and deck-transformation index across periodic charts.,ENGINEERING,Implemented + tested,topology.lift_periodic
M232,UGTS-KC 2.0 engineering expansion,Topology calculus,Homotopy word signature,UGTS-KC 2.0 engineering expansion,Record ordered generator crossings as a reduced symbolic route word.,ENGINEERING,Implemented + tested,topology.reduce_word
M233,UGTS-KC 2.0 engineering expansion,Topology calculus,Braid word,UGTS-KC 2.0 engineering expansion,Encode strand crossings as signed adjacent-generator events.,ENGINEERING,Specified,braid event schema
M234,UGTS-KC 2.0 engineering expansion,Topology calculus,Simplicial complex,UGTS-KC 2.0 engineering expansion,"Finite vertices, oriented simplices and closure under faces.",ENGINEERING,Implemented + tested,topology.SimplicialComplex
M235,UGTS-KC 2.0 engineering expansion,Topology calculus,Cubical complex,UGTS-KC 2.0 engineering expansion,Axis-aligned cells with dimension and face-incidence metadata.,ENGINEERING,Specified,schema complex.cubical
M236,UGTS-KC 2.0 engineering expansion,Topology calculus,Chain boundary operator,UGTS-KC 2.0 engineering expansion,Oriented or mod-2 boundary map between chain groups.,ENGINEERING,Implemented + tested,topology.boundary_matrix
M237,UGTS-KC 2.0 engineering expansion,Topology calculus,Euler characteristic,UGTS-KC 2.0 engineering expansion,Alternating simplex/cell count invariant.,ENGINEERING,Implemented + tested,topology.euler_characteristic
M238,UGTS-KC 2.0 engineering expansion,Topology calculus,Discrete Morse pairing,UGTS-KC 2.0 engineering expansion,Acyclic cell pairing that reduces a complex while preserving homotopy type.,ENGINEERING,Specified,catalog contract
M239,UGTS-KC 2.0 engineering expansion,Topology calculus,Chart transition cocycle,UGTS-KC 2.0 engineering expansion,Transition maps on overlaps must satisfy identity and triple-overlap composition.,ENGINEERING,Specified,schema topology.cocycle
M240,UGTS-KC 2.0 engineering expansion,Kinematic calculus,SE(2) twist exponential,UGTS-KC 2.0 engineering expansion,Map planar body twist to a rigid transform with a small-angle branch.,ENGINEERING,Implemented + tested,kinematics.se2_exp
M241,UGTS-KC 2.0 engineering expansion,Kinematic calculus,SE(3) twist exponential,UGTS-KC 2.0 engineering expansion,Map spatial angular/linear twist to a homogeneous rigid transform.,ENGINEERING,Implemented + tested,kinematics.se3_exp
M242,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Quaternion integration,UGTS-KC 2.0 engineering expansion,Integrate angular velocity while renormalizing orientation.,ENGINEERING,Implemented + tested,kinematics.integrate_quaternion
M243,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Spherical linear interpolation,UGTS-KC 2.0 engineering expansion,Shortest-path unit-quaternion interpolation with antipodal handling.,ENGINEERING,Implemented + tested,math3.quat_slerp
M244,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Screw interpolation,UGTS-KC 2.0 engineering expansion,Interpolate rigid transforms along a constant screw under a declared log/exp branch.,ENGINEERING,Prototype + tested,kinematics.screw_interpolate
M245,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Frenet-Serret frame,UGTS-KC 2.0 engineering expansion,"Tangent, normal, binormal, curvature and torsion from curve derivatives when curvature is nonzero.",ENGINEERING,Implemented + tested,kinematics.frenet_frame
M246,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Bishop frame,UGTS-KC 2.0 engineering expansion,Parallel-transport frame avoiding Frenet instability at near-zero curvature.,ENGINEERING,Implemented + tested,kinematics.bishop_transport
M247,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Arc-length reparameterization,UGTS-KC 2.0 engineering expansion,Monotone sampled map between parameter and cumulative length.,ENGINEERING,Implemented + tested,kinematics.arc_length_table
M248,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Curvature constraint,UGTS-KC 2.0 engineering expansion,Bound path curvature relative to speed and lateral-acceleration budget.,ENGINEERING,Implemented + tested,kinematics.curvature_speed_limit
M249,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Torsion constraint,UGTS-KC 2.0 engineering expansion,Bound frame twist or path torsion under a declared spatial-motion budget.,ENGINEERING,Specified,trajectory constraint schema
M250,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Jerk-bounded S-curve,UGTS-KC 2.0 engineering expansion,Time law with bounded acceleration changes and explicit endpoint conditions.,ENGINEERING,Prototype + tested,kinematics.quintic_time_scaling
M251,UGTS-KC 2.0 engineering expansion,Kinematic calculus,Articulated forward kinematics,UGTS-KC 2.0 engineering expansion,Compose joint transforms along an ordered chain.,ENGINEERING,Implemented + tested,kinematics.forward_kinematics_2d
M252,UGTS-KC 2.0 engineering expansion,Bounded dynamics,Symplectic Euler step,UGTS-KC 2.0 engineering expansion,First-order semi-implicit update for separable mechanical systems.,ENGINEERING,Implemented + tested,dynamics.symplectic_euler
M253,UGTS-KC 2.0 engineering expansion,Bounded dynamics,Velocity Verlet step,UGTS-KC 2.0 engineering expansion,Second-order position/velocity update for acceleration fields.,ENGINEERING,Implemented + tested,dynamics.velocity_verlet
M254,UGTS-KC 2.0 engineering expansion,Bounded dynamics,Damped modal oscillator,UGTS-KC 2.0 engineering expansion,Mass-spring-damper mode with explicit parameters and stable integration options.,ENGINEERING,Implemented + tested,dynamics.damped_oscillator_exact
M255,UGTS-KC 2.0 engineering expansion,Bounded dynamics,Graph diffusion,UGTS-KC 2.0 engineering expansion,Explicit or bounded-step diffusion on a weighted graph Laplacian.,ENGINEERING,Implemented + tested,dynamics.graph_diffusion_step
M256,UGTS-KC 2.0 engineering expansion,Bounded dynamics,Reaction-diffusion step,UGTS-KC 2.0 engineering expansion,"Finite-difference Gray-Scott-type update with declared grid, boundary and step size.",ENGINEERING,Implemented + tested,dynamics.gray_scott_step_1d
M257,UGTS-KC 2.0 engineering expansion,Hybrid event calculus,Hybrid automaton and event cluster resolver,UGTS-KC 2.0 engineering expansion,"Finite modes, guards and resets with deterministic handling of simultaneous and tangent candidates.",ENGINEERING,Implemented + tested,events.HybridAutomaton; events.group_simultaneous_events
M258,UGTS-KC 3.0 engineering expansion,Differential kinematics,Jet-state tower,UGTS-KC 3.0 engineering expansion,"Augment typed state with position, velocity, acceleration, jerk and snap, each with units and frame metadata.",ENGINEERING,Implemented + tested,kinematics.JetState
M259,UGTS-KC 3.0 engineering expansion,Differential kinematics,Material derivative,UGTS-KC 3.0 engineering expansion,Derivative of a field along a trajectory: Df/Dt = partial_t f + grad(f) dot v.,ENGINEERING,Implemented + tested,kinematics.material_derivative
