application_id,domain,application,reference_id,reference_title,reference_url
DIG-07,"Digital, compute & data pipelines",Novelty-proportional state storage,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
DIG-08,"Digital, compute & data pipelines",Auditable absence and negative-event ledger,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-08,"Digital, compute & data pipelines",Auditable absence and negative-event ledger,R6,FHIR R5 Specification,https://hl7.org/fhir/
DIG-08,"Digital, compute & data pipelines",Auditable absence and negative-event ledger,R7,FHIR Subscription,https://fhir.hl7.org/fhir/subscription.html
DIG-08,"Digital, compute & data pipelines",Auditable absence and negative-event ledger,R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
DIG-08,"Digital, compute & data pipelines",Auditable absence and negative-event ledger,R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
DIG-09,"Digital, compute & data pipelines",Data-pipeline state and lineage engine,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-09,"Digital, compute & data pipelines",Data-pipeline state and lineage engine,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
DIG-09,"Digital, compute & data pipelines",Data-pipeline state and lineage engine,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
DIG-10,"Digital, compute & data pipelines",Cybersecurity trust-zone and policy event system,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-10,"Digital, compute & data pipelines",Cybersecurity trust-zone and policy event system,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
DIG-10,"Digital, compute & data pipelines",Cybersecurity trust-zone and policy event system,R35,A Risk Management Approach to Smart City Cybersecurity and Privacy,https://pages.nist.gov/GCTC/uploads/blueprints/2019_GCTC-SC3_Cybersecurity_and_Privacy_Advisory_Committee_Guidebook_July_2019.pdf
DIG-11,"Digital, compute & data pipelines",Distributed-system reconstruction and branch debugging,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-11,"Digital, compute & data pipelines",Distributed-system reconstruction and branch debugging,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
DIG-12,"Digital, compute & data pipelines",AI memory and retrieval with provenance and support,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-12,"Digital, compute & data pipelines",AI memory and retrieval with provenance and support,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
DIG-12,"Digital, compute & data pipelines",AI memory and retrieval with provenance and support,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
DIG-13,"Digital, compute & data pipelines",Model monitoring and deployment event graph,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-13,"Digital, compute & data pipelines",Model monitoring and deployment event graph,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
DIG-13,"Digital, compute & data pipelines",Model monitoring and deployment event graph,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
DIG-14,"Digital, compute & data pipelines",Network and telecom event-native monitoring,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
DIG-15,"Digital, compute & data pipelines",AR/VR and simulation foveated query substrate,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-01,"Warehousing, logistics & supply chains",Warehouse event twin and inventory truth,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-01,"Warehousing, logistics & supply chains",Warehouse event twin and inventory truth,R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
LOG-01,"Warehousing, logistics & supply chains",Warehouse event twin and inventory truth,R27,GS1 Global Traceability Standard,https://www.gs1.org/standards/traceability
LOG-02,"Warehousing, logistics & supply chains",AMR and forklift continuous routing,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-02,"Warehousing, logistics & supply chains",AMR and forklift continuous routing,R33,Time of Impact Dataset for Continuous Collision Detection and a Scalable Conservative Algorithm,https://arxiv.org/abs/2112.06300
LOG-02,"Warehousing, logistics & supply chains",AMR and forklift continuous routing,R34,A Generalized Continuous Collision Detection Framework of Polynomial Trajectory for Mobile Robots,https://arxiv.org/abs/2206.13175
LOG-03,"Warehousing, logistics & supply chains",Pick-path and wave planning as event scheduling,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-04,"Warehousing, logistics & supply chains",Cold-chain and condition lineage,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-04,"Warehousing, logistics & supply chains",Cold-chain and condition lineage,R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
LOG-04,"Warehousing, logistics & supply chains",Cold-chain and condition lineage,R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
LOG-04,"Warehousing, logistics & supply chains",Cold-chain and condition lineage,R27,GS1 Global Traceability Standard,https://www.gs1.org/standards/traceability
LOG-05,"Warehousing, logistics & supply chains",Last-mile delivery event and promise engine,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-05,"Warehousing, logistics & supply chains",Last-mile delivery event and promise engine,R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
LOG-05,"Warehousing, logistics & supply chains",Last-mile delivery event and promise engine,R27,GS1 Global Traceability Standard,https://www.gs1.org/standards/traceability
LOG-06,"Warehousing, logistics & supply chains","Port, terminal and yard coordination",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-06,"Warehousing, logistics & supply chains","Port, terminal and yard coordination",R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
LOG-06,"Warehousing, logistics & supply chains","Port, terminal and yard coordination",R27,GS1 Global Traceability Standard,https://www.gs1.org/standards/traceability
LOG-07,"Warehousing, logistics & supply chains",Food provenance and recall event graph,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-07,"Warehousing, logistics & supply chains",Food provenance and recall event graph,R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
LOG-07,"Warehousing, logistics & supply chains",Food provenance and recall event graph,R27,GS1 Global Traceability Standard,https://www.gs1.org/standards/traceability
LOG-08,"Warehousing, logistics & supply chains",Medical-device and medicine supply chain,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-08,"Warehousing, logistics & supply chains",Medical-device and medicine supply chain,R6,FHIR R5 Specification,https://hl7.org/fhir/
LOG-08,"Warehousing, logistics & supply chains",Medical-device and medicine supply chain,R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
LOG-08,"Warehousing, logistics & supply chains",Medical-device and medicine supply chain,R27,GS1 Global Traceability Standard,https://www.gs1.org/standards/traceability
LOG-09,"Warehousing, logistics & supply chains","Returns, repair and circular-economy lineage",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-09,"Warehousing, logistics & supply chains","Returns, repair and circular-economy lineage",R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
LOG-09,"Warehousing, logistics & supply chains","Returns, repair and circular-economy lineage",R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
LOG-10,"Warehousing, logistics & supply chains",Supply-chain risk and counterfactual branch planner,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
LOG-10,"Warehousing, logistics & supply chains",Supply-chain risk and counterfactual branch planner,R26,EPCIS and Core Business Vocabulary,https://www.gs1.org/standards/epcis
LOG-10,"Warehousing, logistics & supply chains",Supply-chain risk and counterfactual branch planner,R27,GS1 Global Traceability Standard,https://www.gs1.org/standards/traceability
CIV-01,Smart cities & municipal governance,Municipal service obligation and 311 event graph,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-01,Smart cities & municipal governance,Municipal service obligation and 311 event graph,R21,NIST Smart Cities and Communities Framework Series,https://www.nist.gov/ctl/smart-connected-systems-division/iot-devices-and-infrastructures-group/smart-americaglobal/nist
CIV-01,Smart cities & municipal governance,Municipal service obligation and 311 event graph,R23,GeoReport v2,https://wiki.open311.org/GeoReport_v2/
CIV-01,Smart cities & municipal governance,Municipal service obligation and 311 event graph,R25,ISO 37120: Sustainable cities and communities - Indicators for city services and quality of life,https://www.iso.org/standard/68498.html
CIV-02,Smart cities & municipal governance,Transit arrival and missed-service ledger,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-02,Smart cities & municipal governance,Transit arrival and missed-service ledger,R21,NIST Smart Cities and Communities Framework Series,https://www.nist.gov/ctl/smart-connected-systems-division/iot-devices-and-infrastructures-group/smart-americaglobal/nist
CIV-02,Smart cities & municipal governance,Transit arrival and missed-service ledger,R22,Smart Cities and Communities: A Key Performance Indicators Framework,https://doi.org/10.6028/NIST.SP.1900-206
CIV-02,Smart cities & municipal governance,Transit arrival and missed-service ledger,R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
CIV-03,Smart cities & municipal governance,"Traffic, curb and intersection event control",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-03,Smart cities & municipal governance,"Traffic, curb and intersection event control",R21,NIST Smart Cities and Communities Framework Series,https://www.nist.gov/ctl/smart-connected-systems-division/iot-devices-and-infrastructures-group/smart-americaglobal/nist
CIV-03,Smart cities & municipal governance,"Traffic, curb and intersection event control",R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
CIV-03,Smart cities & municipal governance,"Traffic, curb and intersection event control",R33,Time of Impact Dataset for Continuous Collision Detection and a Scalable Conservative Algorithm,https://arxiv.org/abs/2112.06300
CIV-04,Smart cities & municipal governance,"Water, sewer, waste and street-asset lifecycle",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-04,Smart cities & municipal governance,"Water, sewer, waste and street-asset lifecycle",R21,NIST Smart Cities and Communities Framework Series,https://www.nist.gov/ctl/smart-connected-systems-division/iot-devices-and-infrastructures-group/smart-americaglobal/nist
CIV-04,Smart cities & municipal governance,"Water, sewer, waste and street-asset lifecycle",R22,Smart Cities and Communities: A Key Performance Indicators Framework,https://doi.org/10.6028/NIST.SP.1900-206
CIV-04,Smart cities & municipal governance,"Water, sewer, waste and street-asset lifecycle",R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
CIV-04,Smart cities & municipal governance,"Water, sewer, waste and street-asset lifecycle",R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
CIV-05,Smart cities & municipal governance,Emergency response common event substrate,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-05,Smart cities & municipal governance,Emergency response common event substrate,R21,NIST Smart Cities and Communities Framework Series,https://www.nist.gov/ctl/smart-connected-systems-division/iot-devices-and-infrastructures-group/smart-americaglobal/nist
CIV-05,Smart cities & municipal governance,Emergency response common event substrate,R24,OGC SensorThings API Standard,https://www.ogc.org/standards/sensorthings/
CIV-05,Smart cities & municipal governance,Emergency response common event substrate,R35,A Risk Management Approach to Smart City Cybersecurity and Privacy,https://pages.nist.gov/GCTC/uploads/blueprints/2019_GCTC-SC3_Cybersecurity_and_Privacy_Advisory_Committee_Guidebook_July_2019.pdf
CIV-06,Smart cities & municipal governance,"Permitting, licensing and inspection event pipeline",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-06,Smart cities & municipal governance,"Permitting, licensing and inspection event pipeline",R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
CIV-07,Smart cities & municipal governance,"Budget, procurement and contract lineage",C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-07,Smart cities & municipal governance,"Budget, procurement and contract lineage",R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
CIV-07,Smart cities & municipal governance,"Budget, procurement and contract lineage",R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
CIV-08,Smart cities & municipal governance,Policy simulation with isolated counterfactual branches,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-08,Smart cities & municipal governance,Policy simulation with isolated counterfactual branches,R22,Smart Cities and Communities: A Key Performance Indicators Framework,https://doi.org/10.6028/NIST.SP.1900-206
CIV-08,Smart cities & municipal governance,Policy simulation with isolated counterfactual branches,R25,ISO 37120: Sustainable cities and communities - Indicators for city services and quality of life,https://www.iso.org/standard/68498.html
CIV-09,Smart cities & municipal governance,Rights-preserving municipal data spaces,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-09,Smart cities & municipal governance,Rights-preserving municipal data spaces,R21,NIST Smart Cities and Communities Framework Series,https://www.nist.gov/ctl/smart-connected-systems-division/iot-devices-and-infrastructures-group/smart-americaglobal/nist
CIV-09,Smart cities & municipal governance,Rights-preserving municipal data spaces,R35,A Risk Management Approach to Smart City Cybersecurity and Privacy,https://pages.nist.gov/GCTC/uploads/blueprints/2019_GCTC-SC3_Cybersecurity_and_Privacy_Advisory_Committee_Guidebook_July_2019.pdf
CIV-10,Smart cities & municipal governance,Community well-being and service-outcome atlas,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
CIV-10,Smart cities & municipal governance,Community well-being and service-outcome atlas,R22,Smart Cities and Communities: A Key Performance Indicators Framework,https://doi.org/10.6028/NIST.SP.1900-206
CIV-10,Smart cities & municipal governance,Community well-being and service-outcome atlas,R25,ISO 37120: Sustainable cities and communities - Indicators for city services and quality of life,https://www.iso.org/standard/68498.html
RES-01,Research & documentation management,Claim-evidence-provenance graph,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
RES-01,Research & documentation management,Claim-evidence-provenance graph,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
RES-01,Research & documentation management,Claim-evidence-provenance graph,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
RES-02,Research & documentation management,Negative-result and non-observation registry,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
RES-02,Research & documentation management,Negative-result and non-observation registry,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
RES-03,Research & documentation management,Electronic lab notebook as event-sourced experiment,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
RES-03,Research & documentation management,Electronic lab notebook as event-sourced experiment,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
RES-03,Research & documentation management,Electronic lab notebook as event-sourced experiment,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
RES-04,Research & documentation management,Living systematic review and evidence map,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
RES-04,Research & documentation management,Living systematic review and evidence map,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
RES-04,Research & documentation management,Living systematic review and evidence map,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
RES-05,Research & documentation management,Regulatory and quality-management evidence bundle,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
RES-05,Research & documentation management,Regulatory and quality-management evidence bundle,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
RES-06,Research & documentation management,Software and computational-environment lineage,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
RES-06,Research & documentation management,Software and computational-environment lineage,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
RES-06,Research & documentation management,Software and computational-environment lineage,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
RES-07,Research & documentation management,Research portfolio and funding lineage,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
RES-07,Research & documentation management,Research portfolio and funding lineage,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
RES-07,Research & documentation management,Research portfolio and funding lineage,R29,The FAIR Guiding Principles for scientific data management and stewardship,https://doi.org/10.1038/sdata.2016.18
RES-08,Research & documentation management,Knowledge transfer and institutional memory substrate,C0,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,source/Topological_Cross_Domain_Corpus_Report_source.pdf
RES-08,Research & documentation management,Knowledge transfer and institutional memory substrate,R28,PROV-O: The PROV Ontology,https://www.w3.org/TR/prov-o/
