id,domain,application,current_baseline,proposed_role,boundary,maturity,evidence,core_operators,exemplar_event_guard,auditable_absence,candidate_metrics,minimum_pilot,principal_risks,references
ENG-08,"Energy, climate & infrastructure","Gas, oil, hydrogen and CO2 pipeline leak/rupture event twin","Computational pipeline monitoring compares pressure, flow, temperature and equipment states to models.","Express leak/rupture, negative-pressure-wave and valve-response events with support, compatibility, uncertainty and auditable negative events.",Addition/upgrade to CPM and response coordination.,Near-term research pilot,PHMSA baseline + corpus event calculus,direct state query; next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence,Hydraulic/mass-balance or wave relation crosses a leak guard and is compatible with operating transients.,"Expected valve closure, pressure recovery or sensor report absent within a verified interval.",Leak size/time sensitivity; location error; false alarms; isolated volume; response time.,Historical replay and controlled test loop.,Small leaks; transient confusion; sensor failure; regulatory requirements.,C0; R19; R20
ENG-09,"Energy, climate & infrastructure",Water distribution leak and service-loss event system,"Utilities use SCADA, district metering and customer reports.","Combine hydraulic relations, local geographic support, meter/sensor compatibility and 311 reports; explicitly model service absence.",Addition.,Near-term municipal pilot,OGC/Open311 + corpus,local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence; materialized view,Pressure/flow imbalance or service complaint crosses a localized guard.,"Expected pressure, meter heartbeat or repair completion absent under coverage.",Water loss; detection time; false alarms; repair time; equity by neighborhood.,One pressure district.,Sparse sensors; demand uncertainty; privacy; false absence.,C0; R23; R24
ENG-10,"Energy, climate & infrastructure","Industrial combustion, boilers and process heat next-event optimization","Plants use control loops, historians and model predictive control.","Layer a query-first event twin over validated thermodynamic/control models to predict limit crossings, fouling and efficiency transitions.",Addition.,Research pilot,Corpus mapping,direct state query; next-event solve; compatibility gate; guard/event surface; lineage/provenance; counterfactual branch,"Efficiency, emissions, temperature or pressure relation crosses a guard under a candidate operating branch.",Expected actuator or sensor response absent.,Fuel per output; emissions; downtime; false interventions; control energy.,One boiler or furnace subsystem in shadow mode.,Model mismatch; unsafe optimization; operator acceptance.,C0
ENG-11,"Energy, climate & infrastructure",Fossil-fuel reduction through event-native operations,"Digital and physical systems waste energy on over-acquisition, unnecessary transport, leakage and poorly timed operation.","Apply event-native sensing, direct queries, provenance and compatibility to reduce avoidable compute, leaks, curtailment, idling and overproduction.",Cross-sector addition; not a substitute for clean-energy policy or physical transition.,Portfolio hypothesis,Inference grounded in sector pilots,direct state query; next-event solve; local support; compatibility gate; guard/event surface; auditable absence; lineage/provenance,Avoided-energy or avoided-emission action occurs only when a verified event justifies it.,Missing data cannot be counted as avoided use or emissions.,Net J saved; kgCO2e avoided; rebound; capital cost; verification confidence.,"Bundle grid, PV, pipeline and logistics pilots with a common measurement protocol.",Rebound; greenwashing; boundary manipulation; lifecycle omissions.,C0; R15; R18; R19
ENG-12,"Energy, climate & infrastructure",Data-center and AI energy workload router,"Large workloads are scheduled by utilization and service objectives, often with dense telemetry and broad models.","Use local workload support, compatibility, event thresholds and hardware-specific energy models to choose electronic, analog or photonic paths.",Addition.,Research prototype,Corpus + photonic/event hardware precedent,local support; compatibility gate; guard/event surface; analog/photonic front end; lineage/provenance; counterfactual branch,"Route a task when accuracy, latency, energy, precision and hardware calibration predicates are satisfied.",Expected accelerator result or calibration signal absent; fall back.,J/query; throughput; accuracy; data movement; fallback rate.,One fixed inference or signal-processing workload across CPU/GPU/photonic emulator.,I/O dominates; calibration; model portability; misleading component-only metrics.,C0; R32
ENG-13,"Energy, climate & infrastructure",Building HVAC and indoor-environment event twin,"Building systems sample temperature, occupancy and equipment state at fixed intervals.","Use local zone supports, occupancy/privacy compatibility and next-comfort/air-quality/fault events; store exceptions and novelty rather than every derived view.",Addition.,Near-term pilot,Smart-city/IoT standards + corpus,next-event solve; local support; compatibility gate; guard/event surface; auditable absence; lineage/provenance,"Comfort, CO2, humidity, equipment or demand guard crossing.",Expected occupancy or sensor signal absent only with coverage/consent known.,kWh; comfort; indoor air quality; false occupancy; maintenance.,One building zone with parallel BMS.,Privacy; occupancy inference; sensor drift; control oscillation.,C0; R21; R24
ENG-14,"Energy, climate & infrastructure",Wind turbine and rotating-equipment next-fault engine,"Condition monitoring uses vibration, SCADA and periodic analysis.","Represent phase, rotational state, load and component lineage; solve bearing, imbalance and fatigue guard events.",Addition.,Near-term pilot,Cross-domain inference,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence,Vibration/temperature/load relation crosses a calibrated fault guard.,Expected phase marker or sensor heartbeat absent.,Lead time; false alarms; downtime; maintenance cost; energy availability.,Historical replay and one instrumented turbine/test rig.,Nonstationary load; rare failures; sensor degradation.,C0
ENG-15,"Energy, climate & infrastructure","District heating, cooling and thermal-network routing","Thermal networks have delays, storage and heterogeneous loads.","Use continuous transport relations, local branch support and compatibility to predict demand/temperature events and route heat.",Addition.,Research pilot,Corpus mapping,direct state query; next-event solve; local support; compatibility gate; guard/event surface; counterfactual branch,"Supply/return temperature, pressure or storage state crosses an operational guard.",Expected demand or telemetry absent under verified coverage.,Fuel/electricity; losses; comfort; peak reduction; event accuracy.,Campus thermal network digital twin.,Long delays; uncertain demand; actuator limits.,C0
ENG-16,"Energy, climate & infrastructure",Carbon and energy provenance ledger,Emissions and energy claims are assembled from heterogeneous activity data and factors.,"Use lineage, versioned factors, compatibility and explicit missingness to make every claim reconstructable and branch-aware.",Addition.,Implementable information-system pilot,PROV/FAIR + corpus,lineage/provenance; compatibility gate; auditable absence; counterfactual branch; materialized view,"A carbon/energy claim is emitted only when source data, factor version, scope and ownership predicates are complete.","Missing activity or factor data remains a declared gap, not a zero.",Coverage; audit time; recalculation reproducibility; uncertainty; double-count prevention.,One product or facility lifecycle.,Boundary gaming; factor uncertainty; supplier data gaps.,C0; R28; R29
ENG-17,"Energy, climate & infrastructure",Renewable curtailment and storage counterfactual planner,Planning tools compare scenarios using repeated simulations and spreadsheets.,Use isolated branches over a shared state to ask which intervention prevents the next constraint while preserving provenance.,Addition.,Near-term planning pilot,NIST grid + corpus branches,direct state query; next-event solve; counterfactual branch; compatibility gate; guard/event surface; lineage/provenance,"Branch-specific constraint or reliability event under a candidate storage, network or demand-response action.",Expected asset availability absent in a branch is explicit.,Curtailment avoided; reliability; cost; model runtime; branch explainability.,One feeder or region with locked baseline scenarios.,Scenario explosion; uncertain futures; policy assumptions.,C0; R15; R16
ENG-18,"Energy, climate & infrastructure",Environmental sensing with event/absence semantics,"Air, water and ecosystem monitoring often mixes missing data, normal values and true non-detection.","Use local support, sensor provenance, coverage contracts and threshold events; distinguish non-detection from sensor silence.",Addition.,Near-term pilot,OGC standards + corpus negative-event inference,local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence,Pollutant or ecological indicator crosses a calibrated guard under valid sensor support.,Non-detection is emitted only when detection capability and sampling coverage are certified.,Detection delay; false absence; sensor uptime; spatial coverage; energy.,One air-quality or water-quality network.,Calibration; sparse coverage; community trust; interpretation.,C0; R24
DIG-01,"Digital, compute & data pipelines",Equation-world simulation kernel,Conventional engines advance frames and materialize scene state for broad classes of objects.,"Implement direct state_at, next_event, support, coupling, routing and lineage queries for a bounded relation family; render only on demand.",Partial replacement of the authoritative simulation layer in bounded domains.,Research prototype,Canonical corpus target,direct state query; next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; materialized view,Earliest admitted relation crossing with certified root/interval.,Expected event absent only with complete relation/support coverage.,Query cost; event ordering; memory/novelty; correctness; expression growth.,Equation World Zero benchmark versus frame stepping and event queue.,Event/branch explosion; numerical conditioning; limited relation family.,C0
DIG-02,"Digital, compute & data pipelines",Raymarching/rasterization bypass for state and collision,Graphics pipelines often become de facto world stores.,Move authority to relations/events and use ray/raster methods only as materialized views; collision and causality use direct queries.,Partial replacement of state/collision pipeline; rendering remains optional.,Research prototype,Canonical corpus target,direct state query; next-event solve; local support; compatibility gate; guard/event surface; materialized view,"Visibility, contact or transition query solved from relations rather than image sampling.",No pixel or sample is never evidence that an entity is absent from state.,State query time; collision correctness; render independence; memory; view consistency.,Procedural 2D/3D scene with headless test suite and optional renderer.,Hard implicit geometry; projection mismatch; renderer feedback.,C0; R33
DIG-03,"Digital, compute & data pipelines",Dense linear-algebra avoidance planner,Many systems turn all state into large dense matrices and repeat global tensor operations.,"Use support pruning, typed relations, sparse/structured solvers and task routing; use dense linear algebra only where it is the correct local kernel.","Addition/partial workload replacement, not elimination of linear algebra.",Research architecture,Cross-domain inference,local support; compatibility gate; direct state query; counterfactual branch; analog/photonic front end,Choose the smallest valid solver/kernel whose support and precision satisfy the query.,A solver result is unavailable when support or conditioning is insufficient.,FLOPs avoided; data movement; J/query; accuracy; fallback rate.,Benchmark a fixed set of structured queries against dense tensor baselines.,Planner overhead; hidden dense transforms; small-batch inefficiency.,C0; R32
DIG-04,"Digital, compute & data pipelines",Event-driven analog-to-digital conversion layer,Uniform ADC samples at a clock even when signals change little.,"Use level-crossing, change-triggered or feature-triggered conversion for sparse signals, with conventional sampling as fallback and calibration reference.",Addition/partial replacement in sparse sensing.,Near-term hardware research,Established event ADC precedent,guard/event surface; auditable absence; analog/photonic front end; lineage/provenance,Analog signal crosses a calibrated level or derivative guard.,"No event means no threshold crossing only if sensor health, coverage and threshold configuration are known.",Samples/signal; energy; reconstruction error; latency; missed crossings.,"ECG, vibration or environmental signal with simultaneous conventional ADC.",Low-amplitude drift; noise chatter; reconstruction; calibration.,C0; R31
DIG-05,"Digital, compute & data pipelines",Event-camera perception substrate,Frame cameras repeatedly read all pixels.,"Use asynchronous change events as input support, then compatibility and lineage to form object/interaction events; images remain optional.",Addition/partial replacement for motion-centric tasks.,Implementable research pilot,Established event-sensor precedent,local support; compatibility gate; guard/event surface; lineage/provenance; materialized view,Local contrast event joins a tracked entity/trajectory and crosses a task guard.,No events imply no local contrast changes only within sensor support; not object absence.,Latency; bandwidth; events/J; tracking accuracy; low-motion failure.,Robot or industrial inspection task with hybrid frame/event camera.,Static scenes; noise events; calibration; algorithm maturity.,C0; R30
DIG-06,"Digital, compute & data pipelines",Photonic/mixed-signal query accelerator,"Electronic accelerators pay data-movement, conversion and memory costs.","Route stable, high-reuse linear transforms to photonic or analog kernels and keep compatibility, uncertainty, nonlinear decisions and lineage digital.",Addition.,Frontier prototype,Photonic research + corpus hardware translation,analog/photonic front end; compatibility gate; guard/event surface; lineage/provenance; counterfactual branch,"Hardware path admitted when precision, calibration, batch reuse and I/O energy satisfy a policy.",Missing calibration/reference event forces digital fallback.,End-to-end J/query; throughput; accuracy; I/O share; recalibration.,One fixed transform with full system energy accounting.,ADC/DAC dominates; drift; limited precision; workload mismatch.,C0; R32
DIG-07,"Digital, compute & data pipelines",Novelty-proportional state storage,Snapshot systems store repeated derived state and logs without a reconstruction contract.,"Store seed/grammar, exogenous events, lineage, branch policy and checkpoints; materialize views on demand.",Partial replacement of snapshot-heavy history for closed dynamics.,Near-term software pilot,Corpus hypothesis + event sourcing correspondence,direct state query; lineage/provenance; counterfactual branch; materialized view; auditable absence,An exogenous intervention or irreversible observation is appended as novelty.,Expected events can expire into absence events; missing coverage remains unknown.,Storage growth; rebuild time; auditability; branch cost; view freshness.,"One simulator, workflow or operational twin with deterministic replay.",Nondeterminism; external entropy; schema evolution; replay latency.,C0; R28
DIG-08,"Digital, compute & data pipelines",Auditable absence and negative-event ledger,"Most event logs record what happened but conflate no record, no observation and confirmed non-occurrence.","Add ExpectedEvent and AbsenceEvent objects requiring obligation, observation support, deadline, coverage and reason codes.",Addition to any event system.,Implementable design pattern,Decoder inference grounded in corpus support/compatibility,auditable absence; local support; compatibility gate; guard/event surface; lineage/provenance,"At deadline, emit absence only if expectation exists, observation support was valid and no compatible event occurred.",The pattern itself formalizes auditable absence.,False absence; unknown-vs-absent classification; overdue time; coverage quality.,"Hospital follow-up, shipment scan and municipal SLA examples.",Over-surveillance; brittle obligations; clock errors; gaming.,C0; R6; R7; R24; R26
DIG-09,"Digital, compute & data pipelines",Data-pipeline state and lineage engine,"ETL/ML pipelines rely on job status, logs and snapshots across tools.","Represent datasets, transformations, models, approvals and deployments as typed events with compatibility and provenance.",Addition/partial replacement of dashboard-centric orchestration.,Implementable integration,PROV/FAIR + corpus,lineage/provenance; compatibility gate; auditable absence; counterfactual branch; materialized view,"Transformation or release admitted only when inputs, schema, tests, authority and policy are compatible.","Expected artifact, test or approval absent after a due interval.",Reproducibility; failure diagnosis; stale-data incidents; audit time.,One analytics pipeline with W3C PROV export.,Metadata burden; cross-tool identifiers; access control.,C0; R28; R29
DIG-10,"Digital, compute & data pipelines",Cybersecurity trust-zone and policy event system,Systems often equate network reachability with authorization and store security state in fragmented logs.,"Use sheet/sector separation, versioned compatibility predicates, provenance and event guards; co-location never implies access.",Addition.,Near-term architecture pilot,Corpus double-vacuum translation + standards reasoning,compatibility gate; lineage/provenance; auditable absence; counterfactual branch; guard/event surface,"Access or data join admitted only under identity, device, context, policy version and time predicates.","Expected attestation or heartbeat absent triggers degraded trust, not automatic compromise.",Unauthorized joins; policy explainability; response time; false blocks.,One zero-trust data-sharing workflow.,Policy complexity; identity compromise; centralization; denial of service.,C0; R28; R35
DIG-11,"Digital, compute & data pipelines",Distributed-system reconstruction and branch debugging,"Distributed systems produce partial logs, retries, races and divergent replicas.","Use explicit event lineage, branch context, compatibility and invariant reports to reconstruct what happened and why.",Addition.,Near-term software pilot,Corpus event record + provenance,lineage/provenance; counterfactual branch; compatibility gate; auditable absence; direct state query,"State transition creates before/after hashes, predicate version, branch and invariant report.","Expected acknowledgment absent can be distinguished from delayed, dropped or never-sent.",Mean time to resolution; replay fidelity; log volume; invariant violations.,One event-driven service or workflow engine.,Clock ordering; partial observability; privacy; schema drift.,C0; R28
DIG-12,"Digital, compute & data pipelines",AI memory and retrieval with provenance and support,"Retrieval systems return items based on embeddings but may lose source lineage, time and permission context.","Use local semantic support, compatibility, provenance and event-based updates; render summaries only from admitted evidence.",Addition.,Near-term pilot,Corpus + PROV/FAIR inference,local support; compatibility gate; lineage/provenance; auditable absence; materialized view,"Evidence enters a response only when relevance, authority, time, permission and provenance predicates pass.","Expected evidence absent is reported as a gap, not fabricated.",Citation accuracy; retrieval precision; stale-source rate; permission violations.,Research-document assistant over a bounded corpus.,Semantic underspecification; source conflicts; privacy.,C0; R28; R29
DIG-13,"Digital, compute & data pipelines",Model monitoring and deployment event graph,"Models are deployed as versions with metrics, but lineage and context may be fragmented.","Track data, model, evaluation, approval, deployment and drift as a provenance graph with compatibility and rollback branches.",Addition.,Implementable integration,PROV/FAIR + corpus,lineage/provenance; compatibility gate; auditable absence; counterfactual branch; guard/event surface,"Deployment admitted when dataset, model, evaluation, policy and environment are compatible.","Expected monitoring metric absent triggers a hold, not assumed normality.",Rollback time; drift detection; reproducibility; audit completeness.,One model lifecycle.,Metric gaming; hidden data shifts; access control.,C0; R28; R29
DIG-14,"Digital, compute & data pipelines",Network and telecom event-native monitoring,Packet and telemetry systems generate high-rate data and periodic aggregates.,"Use local flow supports, compatibility and threshold events; retain raw data around exceptions and provenance.",Addition.,Near-term pilot,Cross-domain inference,local support; compatibility gate; guard/event surface; auditable absence; lineage/provenance,"Latency, loss, congestion, security or service relation crosses a guard.",Expected heartbeat or route acknowledgment absent under verified coverage.,Data reduction; detection time; false alarms; root-cause time; energy.,One network segment with mirrored conventional telemetry.,Encrypted traffic; baseline drift; adversarial evasion.,C0
DIG-15,"Digital, compute & data pipelines",AR/VR and simulation foveated query substrate,Immersive systems render broad scenes at high frame rates.,Use gaze/agent-local spherical support for relevance and direct state/event queries; render only admitted views and preserve nonvisual state independently.,Addition/partial state-pipeline replacement.,Research prototype,Corpus local support + graphics boundary,local support; direct state query; next-event solve; materialized view; lineage/provenance,"View or interaction event within gaze, reach, causal or semantic support.",No rendered object is not evidence of world absence.,Frame cost; motion-to-photon latency; interaction correctness; energy.,Procedural scene with event-native physics and conventional display.,Gaze error; view inconsistency; hidden-state bugs.,C0
LOG-01,"Warehousing, logistics & supply chains",Warehouse event twin and inventory truth,WMS/WES systems maintain inventory snapshots and task queues; physical reality diverges through missed scans and exceptions.,"Use EPCIS-like visibility events, lineage and auditable absence to reconstruct item, tote, pallet, location and task state.",Addition beneath WMS/WES.,Implementable pilot,GS1 standards + corpus lineage,direct state query; lineage/provenance; auditable absence; compatibility gate; materialized view,"Receive, move, pick, pack, load, count and exception events update lineage.",Expected scan or movement absent under verified reader/task coverage.,Inventory accuracy; search time; write-offs; reconciliation labor; event completeness.,One zone or SKU family.,Reader gaps; human bypass; identity duplication; privacy.,C0; R26; R27
LOG-02,"Warehousing, logistics & supply chains",AMR and forklift continuous routing,Fleet systems replan using maps and fixed update cycles.,"Use continuous trajectories, local supports, compatibility and next-conflict events across vehicles, humans and temporary zones.",Addition.,Near-term pilot,CCD + corpus,next-event solve; local support; compatibility gate; guard/event surface; auditable absence,"Earliest predicted conflict, blockage or task-window crossing.",Tracking absence blocks high-speed motion; no return is not free space.,Throughput; near misses; stops; travel distance; energy/order.,Simulation and one controlled warehouse aisle.,Occlusion; uncertain human motion; network latency.,C0; R33; R34
LOG-03,"Warehousing, logistics & supply chains",Pick-path and wave planning as event scheduling,Batch/wave planning uses forecasts and combinatorial optimization over snapshots.,"Schedule next admissible pick/pack/ship events using local resource support, due-time guards and branch isolation.",Addition.,Near-term software pilot,Cross-domain inference,next-event solve; local support; compatibility gate; guard/event surface; counterfactual branch; lineage/provenance,"Task admitted when inventory, worker/robot, container, dock and promise constraints match.",Expected inventory or resource event absent.,Orders/hour; lateness; walking/drive distance; replans; fairness.,One shift using historical replay.,Objective conflicts; branch explosion; worker impacts.,C0
LOG-04,"Warehousing, logistics & supply chains",Cold-chain and condition lineage,"Temperature records, custody and product identity are often separated.","Bind sensor observations, packaging, custody and product lineage; trigger excursion and missing-coverage events.",Addition.,Implementable pilot,GS1/OGC + corpus,lineage/provenance; compatibility gate; guard/event surface; auditable absence,Temperature/humidity/time relation exits product support during a custody interval.,Expected logger data absent under a known custody and power window.,Excursion detection; spoilage; false holds; audit time.,One lane or product class.,Sensor placement; clock drift; liability; data-sharing.,C0; R24; R26; R27
LOG-05,"Warehousing, logistics & supply chains",Last-mile delivery event and promise engine,Routing systems optimize estimated travel times and update customer status.,"Use continuous vehicle/package state, local traffic support, compatibility and delivery-promise guards with explicit non-delivery reasons.",Addition.,Near-term pilot,Cross-domain inference + traceability,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence; counterfactual branch,"Delivery becomes admissible when parcel, recipient/location, vehicle, access and time conditions match.","Expected arrival, handoff or proof event absent with verified route/coverage.",On-time rate; miles/order; failed deliveries; customer contacts; emissions.,One route cluster.,Privacy; dynamic traffic; inaccessible premises; worker pressure.,C0; R26; R27
LOG-06,"Warehousing, logistics & supply chains","Port, terminal and yard coordination","Ports coordinate vessels, cranes, vehicles, containers and customs through multiple systems.","Create compatibility-gated events and lineage across berth, yard, crane, customs and onward transport.",Addition.,Research/operations pilot,Traceability + corpus,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence; counterfactual branch,"Move admitted when asset, slot, clearance, equipment and safety states match.","Expected clearance, equipment or handoff event absent.",Dwell time; crane productivity; truck queues; misroutes; energy.,One terminal flow in simulation/shadow mode.,Institutional boundaries; cyber; weather; labor impacts.,C0; R26; R27
LOG-07,"Warehousing, logistics & supply chains",Food provenance and recall event graph,Traceability is often batch-based and reconciliation-heavy.,"Use critical tracking events, split/merge lineage, condition data and compatibility to localize affected product.",Addition.,Implementable integration,GS1 standards + corpus lineage,lineage/provenance; compatibility gate; auditable absence; guard/event surface,"Transformation, aggregation, shipment, receipt and recall events preserve parent/child lineage.",Expected custody or transformation record absent.,Recall scope; trace time; waste; coverage; false inclusion/exclusion.,One product chain.,Supplier adoption; identifier granularity; data quality.,C0; R26; R27
LOG-08,"Warehousing, logistics & supply chains",Medical-device and medicine supply chain,"Healthcare supplies require identity, condition, custody and regulatory records.",Combine GS1 traceability with hospital compatibility and patient/procedure context.,Addition.,Implementable pilot,GS1 + FHIR + corpus,lineage/provenance; compatibility gate; auditable absence; guard/event surface,"Device/drug use admitted when product, lot, expiry, storage, order and patient/procedure predicates pass.","Expected receipt, scan, temperature or recall acknowledgment absent.",Expired/incorrect use; recall time; stockouts; auditability.,One implant or high-risk medicine.,Workflow burden; identifier mismatch; privacy.,C0; R6; R26; R27
LOG-09,"Warehousing, logistics & supply chains","Returns, repair and circular-economy lineage",Returned products lose history and are triaged through coarse categories.,"Preserve component lineage, condition events, repair branches and material provenance to route reuse, refurbishment or recycling.",Addition.,Near-term pilot,Provenance/traceability + corpus,lineage/provenance; counterfactual branch; compatibility gate; guard/event surface; auditable absence,"Disposition admitted when identity, condition, warranty, safety and material predicates pass.",Expected inspection or test result absent.,Recovered value; waste avoided; turnaround; traceability.,One electronics product family.,Hidden damage; data ownership; reverse-logistics cost.,C0; R26; R28
LOG-10,"Warehousing, logistics & supply chains",Supply-chain risk and counterfactual branch planner,Risk tools aggregate supplier and logistics data into dashboards and scenarios.,"Use isolated branches sharing a base lineage to ask next disruption, substitute compatibility and downstream impact.",Addition.,Research pilot,Corpus branch/compatibility + traceability,next-event solve; counterfactual branch; compatibility gate; lineage/provenance; auditable absence,"Supplier, lane, inventory or regulatory relation crosses a disruption guard.",Expected shipment or supplier confirmation absent under a known reporting contract.,Time to detect; recovery time; substitution success; scenario explainability.,One multi-tier component chain.,Supplier opacity; false rumors; branch explosion; strategic misuse.,C0; R26; R27
CIV-01,Smart cities & municipal governance,Municipal service obligation and 311 event graph,"311 systems record requests but often separate promises, work orders, assets and outcomes.","Link requests, assets, departments, contractors, SLAs, inspections and resident communications through events and auditable absences.",Addition beneath CRM/asset systems.,Implementable pilot,Open311/NIST + corpus absence pattern,lineage/provenance; auditable absence; compatibility gate; guard/event surface; materialized view,"Request, dispatch, work, inspection and closure are typed events with reason and evidence.","Expected response, visit or resolution absent after its service window.",Resolution time; reopen rate; equity; evidence completeness; resident trust.,Pothole or streetlight service.,Gaming closure; surveillance; uneven digital access; contractor data.,C0; R21; R23; R25
CIV-02,Smart cities & municipal governance,Transit arrival and missed-service ledger,Passenger systems emphasize predictions and vehicle positions; missed trips may be poorly distinguished from missing telemetry.,"Represent scheduled/expected service, vehicle lineage, stop support and observed arrivals; emit absence only with coverage.",Addition.,Near-term pilot,OGC/NIST + corpus,local support; auditable absence; lineage/provenance; guard/event surface; materialized view,Arrival/departure crosses stop/time support under a vehicle/run identity.,Scheduled trip absent when AVL and operational coverage are verified; otherwise unknown/data gap.,On-time performance; ghost-trip classification; passenger delay; data coverage.,One bus corridor.,GPS outages; schedule changes; privacy; public misinterpretation.,C0; R21; R22; R24
CIV-03,Smart cities & municipal governance,"Traffic, curb and intersection event control","Controllers operate with loops, phases and local sensors; planning and enforcement data are separate.","Use local spatial supports, vehicle/pedestrian compatibility and next-conflict events; preserve policy versions and human override.",Addition.,Research pilot,Smart-city + CCD patterns,next-event solve; local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence,"Conflict, queue, pedestrian call, emergency preemption or curb-occupancy guard crossing.",Expected detector or phase acknowledgment absent.,Delay; safety surrogate; emissions; false calls; accessibility.,One simulated or controlled intersection.,Safety; sensor bias; priority fairness; cyber.,C0; R21; R24; R33
CIV-04,Smart cities & municipal governance,"Water, sewer, waste and street-asset lifecycle","Asset management is split across GIS, work orders, inspections and finance.","Give each asset lineage, condition events, local support and maintenance guards; connect physical and budget records.",Addition.,Near-term integration,NIST/OGC/PROV + corpus,lineage/provenance; local support; guard/event surface; auditable absence; materialized view,"Inspection, fault, maintenance, replacement and service events update asset state.","Expected inspection, collection or repair absent under a service obligation.",Failure rate; backlog; lifecycle cost; service equity; auditability.,One asset class.,Legacy IDs; contractor boundaries; data quality.,C0; R21; R22; R24; R28
CIV-05,Smart cities & municipal governance,Emergency response common event substrate,"Calls, sensors, dispatch, hospitals and utilities exchange partial information.","Use a common incident lineage, local support, compatibility and event guards while preserving agency-specific sectors and permissions.",Addition.,Research/operations pilot,NIST smart-city/privacy + corpus,local support; compatibility gate; guard/event surface; lineage/provenance; auditable absence; counterfactual branch,"Incident, dispatch, arrival, hazard, capacity and handoff events are admitted under role and jurisdiction predicates.",Expected unit acknowledgment or arrival absent within an explicit response window.,Response time; duplicate dispatch; handoff quality; privacy incidents.,Tabletop exercise and one low-risk event type.,Authority conflict; false data; surveillance; cyber.,C0; R21; R24; R35
CIV-06,Smart cities & municipal governance,"Permitting, licensing and inspection event pipeline",Applicants face document-centric workflows with opaque state and missing-action delays.,"Model application, evidence, review, inspection, decision, appeal and policy version as events with explicit compatibility and reason codes.",Addition/partial replacement of opaque workflow tracking.,Implementable pilot,Corpus + provenance,compatibility gate; lineage/provenance; auditable absence; counterfactual branch; materialized view,"Decision transition admitted only when required evidence, authority, policy version and procedural rights are satisfied.","Expected review or applicant response absent after due interval, with waiver/extension states.",Cycle time; rework; appeals; missing documents; transparency.,One permit type.,Automating discretion; unequal access; policy complexity.,C0; R28
CIV-07,Smart cities & municipal governance,"Budget, procurement and contract lineage",Budgets and contracts are document-heavy and decisions are hard to reconstruct.,"Create lineage from policy goal to appropriation, tender, bid, award, change order, invoice, delivery and outcome.",Addition.,Implementable information-system pilot,PROV/FAIR + corpus,lineage/provenance; compatibility gate; auditable absence; counterfactual branch; materialized view,"Financial or contractual transition carries authority, policy, evidence and before/after state.","Expected deliverable, report or payment evidence absent.",Audit time; change-order visibility; duplicate spend; outcome linkage.,One capital project.,Commercial confidentiality; political misuse; data burden.,C0; R28; R29
CIV-08,Smart cities & municipal governance,Policy simulation with isolated counterfactual branches,Municipal scenarios often live in separate spreadsheets/models and can contaminate operational assumptions.,"Use branch-isolated policy worlds sharing base data; compare next events, service KPIs and distributional impacts without overwriting live state.",Addition.,Near-term planning pilot,Corpus branch isolation + NIST KPI,counterfactual branch; direct state query; next-event solve; lineage/provenance; compatibility gate; materialized view,"Policy-specific service, cost, risk or equity guard crossing.","Missing evidence is shown as uncertainty, not zero impact.",Scenario reproducibility; runtime; KPI coverage; distributional impact; explainability.,"Transport, housing or energy policy case.",False precision; biased models; branch explosion; political capture.,C0; R22; R25
CIV-09,Smart cities & municipal governance,Rights-preserving municipal data spaces,Smart-city systems can centralize surveillance and blur purposes.,"Use relational exclusion, purpose/time/role compatibility, provenance and public reason codes; co-location in a platform never implies join permission.",Addition and governance foundation.,Implementable architecture pilot,NIST privacy + corpus double-vacuum translation,compatibility gate; lineage/provenance; auditable absence; counterfactual branch,"Data join admitted only for declared purpose, authority, minimization, retention and consent/legal basis.","Expected deletion, review or access-log event absent triggers governance action.",Unauthorized joins; purpose violations; access audit; resident redress.,One cross-department data-sharing use case with privacy review.,Function creep; power imbalance; re-identification; opaque predicates.,C0; R21; R35
CIV-10,Smart cities & municipal governance,Community well-being and service-outcome atlas,City dashboards emphasize technology and operational metrics.,"Map technology events through infrastructure services to community benefits, with lineage and neighborhood support rather than one global score.",Addition.,Near-term analytics pilot,NIST H-KPI/ISO + corpus support,local support; lineage/provenance; materialized view; auditable absence; counterfactual branch,Service outcome or disparity crosses a declared community guard.,"Expected service result absent, with data coverage and denominator explicit.",Service access; quality of life; equity; resilience; data completeness.,One service portfolio across neighborhoods.,Metric gaming; ecological fallacy; missing populations; privacy.,C0; R22; R25
